,draft_season,player_id,player_name,position,height_w_shoes,height_1,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,spot_fifteen_corner_left,spot_fifteen_break_left,spot_fifteen_top_key,spot_fifteen_break_right,spot_fifteen_corner_right,spot_college_corner_left,spot_college_break_left,spot_college_top_key,spot_college_break_right,spot_college_corner_right,spot_nba_corner_left,spot_nba_break_left,spot_nba_top_key,spot_nba_break_right,spot_nba_corner_right,off_drib_fifteen_break_left,off_drib_fifteen_top_key,off_drib_fifteen_break_right,off_drib_college_break_left,off_drib_college_top_key,off_drib_college_break_right,on_move_fifteen,on_move_college,draft_number,round_pick,overall_pick,draft_type,team_id,team_city,team_name,team_abbreviation,organization,organization_type,player_profile_flag
122,2004,2777,Ricky Minard,PG-SG,75.25,76.25,198.0,79.0,101.5,8.0,,,27.5,33.0,10.94,,3.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,19.0,48.0,Draft,1610612758.0,Sacramento,Kings,SAC,Morehead State,College/University,1.0
185,2005,101128,Francisco Garcia,SF-SG,77.75,79.0,189.6,82.75,103.0,,,,27.5,31.5,10.63,,3.33,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,23.0,23.0,Draft,1610612758.0,Sacramento,Kings,SAC,Louisville,College/University,1.0
262,2007,201150,Spencer Hawes,PF,82.0,84.75,244.0,84.5,110.0,13.0,,,26.0,29.0,11.88,,3.51,9.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,10.0,Draft,1610612758.0,Sacramento,Kings,SAC,Washington,College/University,1.0
336,2008,201607,Patrick Ewing Jr.,SF-PF,78.0,79.25,224.0,84.25,97.5,9.4,,,35.0,42.0,11.77,,3.43,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,13.0,43.0,Draft,1610612758.0,Sacramento,Kings,SAC,Georgetown,College/University,1.0
383,2008,201606,Sean Singletary,PG,71.0,72.0,183.8,76.5,95.0,4.2,,,26.0,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,42.0,Draft,1610612758.0,Sacramento,Kings,SAC,Virginia,College/University,1.0
394,2009,201965,Jeff Ayres,PF,80.75,82.0,239.6,85.0,107.0,5.5,,,31.0,35.0,11.98,,3.14,15.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,31.0,Draft,1610612758.0,Sacramento,Kings,SAC,Arizona State,College/University,1.0
400,2009,201956,Omri Casspi,SF,79.75,81.25,211.2,81.25,106.5,8.6,,,25.5,32.5,11.15,,3.28,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,23.0,23.0,Draft,1610612758.0,Sacramento,Kings,SAC,Maccabi Tel Aviv B.C. (Israel),Other Team/Club,1.0
410,2009,201936,Tyreke Evans,PG-SG,76.0,77.25,220.6,83.25,104.0,7.1,,,28.5,34.0,11.81,,3.17,7.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,4.0,Draft,1610612758.0,Sacramento,Kings,SAC,Memphis,College/University,1.0
450,2010,202326,DeMarcus Cousins,C,81.5,82.75,291.8,89.75,113.0,16.4,9.25,10.0,23.5,27.5,11.4,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,Draft,1610612758.0,Sacramento,Kings,SAC,Kentucky,College/University,1.0
490,2010,202355,Hassan Whiteside,C-PF,82.5,83.5,226.6,91.0,113.0,5.5,8.25,10.25,27.0,31.5,11.83,,3.54,12.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,33.0,Draft,1610612758.0,Sacramento,Kings,SAC,Marshall,College/University,1.0
505,2011,202715,Tyler Honeycutt,SF,78.75,80.25,186.8,81.0,105.0,5.3,8.5,9.5,30.0,37.0,11.68,,3.07,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,35.0,Draft,1610612758.0,Sacramento,Kings,SAC,California-Los Angeles,College/University,1.0
536,2011,202738,Isaiah Thomas,PG,68.75,70.25,186.0,73.75,91.5,6.7,8.25,9.0,31.5,40.0,10.49,,3.14,13.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,30.0,60.0,Draft,1610612758.0,Sacramento,Kings,SAC,Washington,College/University,1.0
